commitment,billing_period,covered_on_demand_cost,consumed_commitment,unused_commitment_waste,paid_commitment,utilization
arn:aws:savingsplans::559750980952:savingsplan/04742b4f-f47e-576f-f9d6-f681a4a2def8,2026-04,37.1111724181,21.1104,0.0,21.1104,1.0
arn:aws:savingsplans::559750980952:savingsplan/04742b4f-f47e-576f-f9d6-f681a4a2def8,2026-05,38.3080015369,21.81408,0.0,21.81408,1.0
arn:aws:savingsplans::559750980952:savingsplan/14ca4d5b-b9df-8430-2119-7e805f38ec7c,2026-04,1819.5127327673,1091.9880399975,0.0,1091.9880399975,1.0
arn:aws:savingsplans::559750980952:savingsplan/14ca4d5b-b9df-8430-2119-7e805f38ec7c,2026-05,3589.6509706191,2155.0108799977,0.0,2155.0108799977,1.0
arn:aws:savingsplans::559750980952:savingsplan/2697b084-02ab-5e6d-2b36-952c2292ddc0,2026-03,2468.4131375027,1337.7119999869,0.0,1337.7119999869,1.0
arn:aws:savingsplans::559750980952:savingsplan/2697b084-02ab-5e6d-2b36-952c2292ddc0,2026-04,2378.5678842629,1294.5600000019,0.0,1294.5600000019,1.0
arn:aws:savingsplans::559750980952:savingsplan/2697b084-02ab-5e6d-2b36-952c2292ddc0,2026-05,2438.5022338803,1337.7120000091002,0.0,1337.7120000091002,1.0
arn:aws:savingsplans::559750980952:savingsplan/3a009073-162b-72c7-ca88-9c12cea624b7,2026-03,2116.7857020222,1192.6245600002,0.0,1192.6245600002,1.0
arn:aws:savingsplans::559750980952:savingsplan/3a009073-162b-72c7-ca88-9c12cea624b7,2026-04,2043.1192427475999,1154.1528000036,0.0,1154.1528000036,1.0
arn:aws:savingsplans::559750980952:savingsplan/3a009073-162b-72c7-ca88-9c12cea624b7,2026-05,2095.2269888659,1192.6245600026,0.0,1192.6245600026,1.0
arn:aws:savingsplans::559750980952:savingsplan/4b0ebb17-590f-a713-6516-f67ec77f1962,2026-03,450.6488437776,256.4344800003,0.0,256.4344800003,1.0
arn:aws:savingsplans::559750980952:savingsplan/4b0ebb17-590f-a713-6516-f67ec77f1962,2026-04,436.0517056719,248.1623999997,0.0,248.1623999997,1.0
arn:aws:savingsplans::559750980952:savingsplan/4b0ebb17-590f-a713-6516-f67ec77f1962,2026-05,450.2900691423,256.43448,0.0,256.43448,1.0
arn:aws:savingsplans::559750980952:savingsplan/884c727d-42b6-7899-4ee8-ffc9e2c58bdf,2026-03,3455.9627187524998,1976.4434399996,0.0,1976.4434399996,1.0
arn:aws:savingsplans::559750980952:savingsplan/884c727d-42b6-7899-4ee8-ffc9e2c58bdf,2026-04,3349.7381373521,1912.6872000003002,0.0,1912.6872000003002,1.0
arn:aws:savingsplans::559750980952:savingsplan/884c727d-42b6-7899-4ee8-ffc9e2c58bdf,2026-05,3457.1209276455,1976.4434400005002,0.0,1976.4434400005002,1.0
arn:aws:savingsplans::559750980952:savingsplan/bdfcc9b2-c4d1-da42-2a5e-dfc9da9d4512,2026-03,970.5199532053999,537.1680000040001,0.0,537.1680000040001,1.0
arn:aws:savingsplans::559750980952:savingsplan/bdfcc9b2-c4d1-da42-2a5e-dfc9da9d4512,2026-04,931.5637702276999,519.840000005,0.0,519.840000005,1.0
arn:aws:savingsplans::559750980952:savingsplan/bdfcc9b2-c4d1-da42-2a5e-dfc9da9d4512,2026-05,950.2829352351,537.1680000036,0.0,537.1680000036,1.0
arn:aws:savingsplans::559750980952:savingsplan/eda5f203-29b6-c471-c841-9ad0b0c71d19,2026-03,2641.5785393456,1546.5200100010002,0.0,1546.5200100010002,1.0
arn:aws:savingsplans::559750980952:savingsplan/eda5f203-29b6-c471-c841-9ad0b0c71d19,2026-04,5458.9001643811,3208.9176000025004,0.0,3208.9176000025004,1.0
arn:aws:savingsplans::559750980952:savingsplan/eda5f203-29b6-c471-c841-9ad0b0c71d19,2026-05,5609.3455298154995,3315.8815199988003,0.0,3315.8815199988003,1.0
arn:aws:savingsplans::662505700522:savingsplan/74c6fcdb-c971-62b5-6550-7ac3bde8f89f,2026-03,38.906528772,24.584,0.0,24.584,1.0
arn:aws:savingsplans::662505700522:savingsplan/ed57fe40-deab-c41e-ba1c-28fe6a8746ef,2026-03,717.5926978521001,520.8,0.0,520.8,1.0
arn:aws:savingsplans::662505700522:savingsplan/ed57fe40-deab-c41e-ba1c-28fe6a8746ef,2026-04,691.440552142,504.0000000002,0.0,504.0000000002,1.0
arn:aws:savingsplans::662505700522:savingsplan/ed57fe40-deab-c41e-ba1c-28fe6a8746ef,2026-05,713.9723030272,520.8,0.0,520.8,1.0
