cost_type,row_count,usage_amount,on_demand_cost,amortized_cost
On Demand Usage,20062471,217037689994.18478,695275.2665349937,689816.4266054158
Spot Usage,29886,80873.56364500003,12248.882783262801,5286.249655149088
Unused Commitment,69969,511372.61805555574,0.0,9688.7117076257
Usage with Discount,739202,14798082.670883458,263298.4731450907,156658.25779781648
