scenario,commitment_per_hour,total_savings_dollars,effective_savings_rate,coverage_rate,average_utilization,total_unused_commitment_waste,total_paid_commitment,total_gross_savings_dollars
baseline,18.773055687904968,70120.35350998226,0.3056423219345479,0.8417823720342287,0.8914776776419718,13348.360777814754,123001.06086715336,83468.71428779705
optimal,21.256840080555264,70463.22401202738,0.30713683431393873,0.914211329548748,0.8592448668340046,19603.645302011366,139274.81620779808,90066.86931403873
