analysis_timestamp,eligible_on_demand_cost,eligible_discounted_cost,covered_on_demand_cost,consumed_commitment,unused_commitment_waste,gross_savings,net_savings,utilization,coverage_rate
2025-09-01 00:00:00,19.312712955100004,11.290159239427737,19.312712955099997,11.290159239427737,7.482896448477231,8.022553715672261,0.5396572671950306,0.6014023197460453,0.9999999999999997
2025-09-01 01:00:00,19.130116002399998,11.188863563662062,19.130116002399994,11.188863563662062,7.584192124242906,7.941252438737937,0.3570603144950315,0.5960065185802853,0.9999999999999998
2025-09-01 02:00:00,19.2168260776,11.280387633809303,19.216826077599993,11.280387633809303,7.492668054095665,7.936438443790696,0.4437703896950307,0.6008818074873654,0.9999999999999997
2025-09-01 03:00:00,18.622779712399996,10.954030951832262,18.6227797124,10.954030951832262,7.819024736072706,7.668748760567736,-0.15027597550496985,0.5834974941713769,1.0000000000000002
2025-09-01 04:00:00,20.092498311499995,12.000062505995986,20.09249831149999,12.000062505995986,6.772993181908982,8.092435805504014,1.319442623595032,0.6392173285741298,0.9999999999999998
2025-09-01 05:00:00,22.3054807783,13.505920762780798,22.3054807783,13.505920762780798,5.26713492512417,8.799560015519203,3.5324250903950336,0.7194311350965811,1.0
2025-09-01 06:00:00,24.4844386078,14.870290379363084,24.484438607800005,14.870290379363084,3.902765308541884,9.614148228436916,5.711382919895032,0.7921081483257761,1.0000000000000002
2025-09-01 07:00:00,25.478136248099997,15.44465249913604,25.478136248100014,15.44465249913604,3.3284031887689274,10.033483748963958,6.7050805601950305,0.8227031739476841,1.0000000000000007
2025-09-01 08:00:00,24.9061602978,15.077257335576022,24.906160297800003,15.077257335576022,3.6957983523289464,9.828902962223975,6.133104609895028,0.8031328296378484,1.0000000000000002
2025-09-01 09:00:00,25.636504885199997,15.533875349414222,25.63650488520001,15.533875349414222,3.239180338490746,10.102629535785777,6.863449197295031,0.8274558818585047,1.0000000000000004
2025-09-01 10:00:00,25.113680182200003,15.19629883714827,25.113680182200003,15.19629883714827,3.5767568507566985,9.917381345051727,6.340624494295028,0.8094739124935789,1.0
2025-09-01 11:00:00,26.072636860299998,15.745807786201723,26.072636860299994,15.745807786201723,3.0272479017032445,10.326829074098274,7.29958117239503,0.8387450635618352,0.9999999999999999
2025-09-01 12:00:00,26.323668066499994,15.914434719863804,26.32366806650001,15.914434719863804,2.858620968041164,10.4092333466362,7.550612378595035,0.8477274549458187,1.0000000000000004
2025-09-01 13:00:00,26.258796915299996,15.899980025239941,26.258796915299996,15.899980025239941,2.873075662665027,10.358816890060055,7.485741227395028,0.8469574846828968,1.0
2025-09-01 14:00:00,25.2765384247,15.288939812165411,25.2765384247,15.288939812165411,3.4841158757395565,9.987598612534592,6.503482736795036,0.8144086965030265,1.0
2025-09-01 15:00:00,24.5437631707,14.739487769896035,24.543763170700007,14.739487769896035,4.0335679180089326,9.804275400803965,5.770707482795032,0.7851405767358554,1.0000000000000002
