instrument_family,on_demand_cost,amortized_cost,commitment_realized_savings_dollars,spot_savings_vs_on_demand_dollars,waste_dollars,net_savings_dollars,net_effective_savings_rate
Compute Savings Plan,202544.15497401723,115332.98207385208,87211.17290016515,0.0,0.0,87211.17290016515,0.4305785714297842
Reserved Instance,58789.63906716526,47176.38403522692,18615.158144580848,0.0,7001.9031126425,11613.255031938344,0.19753914492774102
Spot (non-commitment cost),12108.629809310183,5235.509150930688,0.0,6873.120658379496,0.0,6873.120658379496,0.5676216687287635
On Demand / No Commitment,690394.227720054,685063.3465414657,0.0,0.0,0.0,5330.881178588257,0.007721503113073334
