product_code,on_demand_cost,amortized_cost,savings_dollars,effective_savings_rate
AmazonEC2,257378.08146172742,200518.7307610456,56859.350700681825,0.22091761030216908
AmazonECS,134811.91925330114,95563.4067258058,39248.51252749533,0.2911353294640841
AmazonRDS,174586.96961123135,164137.51298542938,10449.456625801977,0.059852442877442284
AmazonElastiCache,33723.37479881858,32547.759188819044,1175.615609999535,0.034860556424522494
AmazonCloudFront,4327.973704597069,3225.395317678535,1102.5783869185339,0.25475625828026677
AmazonCloudWatch,45812.77816437149,45257.57899326198,555.1991711095106,0.012118871488594593
AmazonApiGateway,18336.553663840074,17930.271671169914,406.2819926701595,0.02215694399931613
AmazonDynamoDB,63013.31853856621,62626.60335152723,386.7151870389789,0.006137038899201867
AWSSecurityHub,2682.8953099999303,2515.154459999956,167.74084999997422,0.0625223240633935
AmazonRoute53,604.00290120001,457.2029011999942,146.8000000000158,0.24304519019421786
AmazonSNS,4524.278820843832,4377.547682453021,146.7311383908118,0.03243193980768954
AWSDatabaseMigrationSvc,7612.17000058422,7501.920000584236,110.24999999998454,0.014483386470812272
AmazonS3,23852.040096807425,23747.772690123576,104.2674066838481,0.004371425096581328
AWSLambda,11146.847844868515,11059.160845282318,87.68699958619618,0.007866528798683043
AWSSystemsManager,121.25189899999988,104.65539899999997,16.596499999999907,0.136876206780068
AWSCodePipeline,861.4280000000014,848.2280000000012,13.20000000000016,0.015323393249348916
AmazonECRPublic,11.764107824699739,0.0,11.764107824699739,1.0
AWSServiceCatalog,20.351800000000686,9.885399999999967,10.46640000000072,0.514273921717016
AWSCodeArtifact,2202.586679383517,2194.086456249712,8.50022313380532,0.003859200281817945
AWSQueueService,25614.441830109317,25608.930076665674,5.5117534436431015,0.00021518147770700722
AWSXRay,231.99466400000142,226.49340500000164,5.501258999999777,0.023712868671840415
CodeBuild,5380.043470000019,5374.543470000019,5.5,0.0010222965726334513
AWSGlue,1148.1756573548487,1143.0711894799986,5.1044678748501155,0.004445720340918669
AmazonKinesisFirehose,13317.285786615152,13313.100448954046,4.185337661105223,0.0003142785795970372
AmazonCognito,3.3205000000000022,0.0,3.3205000000000022,1.0
AmazonSES,1749.0761755303124,1748.1463143048088,0.9298612255036005,0.0005316299189894748
AWSELB,16075.933797879012,16075.212317412808,0.7214804662035021,4.487953703185137e-05
awskms,4507.866605472621,4507.206605472616,0.6600000000053114,0.00014641072102800494
AmazonECR,8152.557092265595,8152.088390400994,0.46870186460091645,5.7491393104818387e-05
AmazonLocationService,0.5158979999999754,0.2681800000000183,0.24771799999995714,0.48016856045181205
AWSCloudFormation,0.2052,0.0,0.2052,1.0
transcribe,0.0981553924,0.0,0.0981553924,1.0
AmazonES,27684.359587944084,27684.30567892128,0.05390902280487353,1.947273608899001e-06
AmazonVPC,21128.67843387335,21128.659354154344,0.01907971900436678,9.030247236750174e-07
AmazonStates,0.026850373600010025,0.024226118600007944,0.0026242550000020806,0.09773625645198102
AWSMigrationHubRefactorSpaces,0.0007939999999999986,0.0,0.0007939999999999986,1.0
AWSEvents,62.19620615810119,62.19568320810121,0.0005229499999828136,8.408069113628696e-06
AmazonBedrockAgentCore,1.8982950422000002,1.8978624783000002,0.0004325639000000159,0.00022786968852781837
AmazonGlacier,5.464810000000111e-05,5.363180000000098e-05,1.0163000000001278e-06,0.01859716989245934
AWSConfig,10300.263000005283,10300.263000005283,0.0,0.0
AWSCloudTrail,5814.66475749997,5814.66475749997,0.0,0.0
AWSCloudShell,8.016e-07,8.016e-07,0.0,0.0
AWSBackup,214.29443200220012,214.29443200220012,0.0,0.0
AWSBudgets,0.4699999999999999,0.4699999999999999,0.0,0.0
AWSAmplify,0.0007995958999999979,0.0007995958999999979,0.0,0.0
AWSDeviceFarm,0.0,0.0,0.0,
AWSCostExplorer,50.339999999999876,50.339999999999876,0.0,0.0
ACM,0.0,0.0,0.0,
AmazonBedrock,0.04469775,0.04469775,0.0,0.0
AmazonAthena,67.73284999999987,67.73284999999987,0.0,0.0
AWSNetworkFirewall,6651.723724730251,6651.723724730251,0.0,0.0
AWSSecretsManager,2290.553214284917,2290.553214284917,0.0,0.0
AWSIoT,1.5e-06,1.5e-06,0.0,0.0
AmazonEFS,437.85145753908506,437.85145753908506,0.0,0.0
AmazonInspectorV2,824.2418166070004,824.2418166070004,0.0,0.0
AmazonEKS,3185.074718026074,3185.074718026074,0.0,0.0
AmazonQuickSight,2041.0777040700073,2041.0777040700073,0.0,0.0
AmazonKinesis,17500.843583748116,17500.843583748116,0.0,0.0
AmazonTextract,2617.0104999999926,2617.0104999999926,0.0,0.0
AmazonSWF,1.3600000000000001e-08,1.3600000000000001e-08,0.0,0.0
awswaf,1137.8719938000413,1137.8719938000413,0.0,0.0
PaymentCryptography,2.337371999999939,2.337371999999939,0.0,0.0
datapipeline,10.993234653500274,10.993234653500274,0.0,0.0
ComputeSavingsPlans,0.0,11.8158567525,-11.8158567525,
