commitment,commitment_key,cost_type,on_demand_cost,amortized_cost,savings_dollars,effective_savings_rate
arn:aws:savingsplans::559750980952:savingsplan/884c727d-42b6-7899-4ee8-ffc9e2c58bdf,AWS#Compute-EC2#eu-west-3#m5#RunInstances#shared,Usage with Discount,2026.2381883251046,1157.8503933263862,868.3877949987184,0.42857142857253655
arn:aws:savingsplans::527480136527:savingsplan/5904150c-b018-4c2d-9a81-9f6f355a89e1,AWS#Compute-EC2#eu-west-3#r5#RunInstances#shared,Usage with Discount,2234.8285683161957,1408.0930000000058,826.73556831619,0.36993243241878004
arn:aws:savingsplans::559750980952:savingsplan/2697b084-02ab-5e6d-2b36-952c2292ddc0,AWS#Compute-EC2#eu-west-3#c5a#RunInstances#shared,Usage with Discount,1705.872848824708,949.0089337543991,756.8639150703088,0.44368131868196625
arn:aws:savingsplans::559750980952:savingsplan/2697b084-02ab-5e6d-2b36-952c2292ddc0,AWS#Compute-EC2#eu-central-1#c5#RunInstances#shared,Usage with Discount,1679.2331148065996,956.4704081761988,722.7627066304008,0.43041237113385694
arn:aws:savingsplans::559750980952:savingsplan/eda5f203-29b6-c471-c841-9ad0b0c71d19,AWS#Compute-EC2#eu-west-3#t3a#RunInstances#shared,Usage with Discount,1703.5301733570457,994.8998682201022,708.6303051369434,0.4159775483990916
arn:aws:elasticache:eu-west-3:527480136527:reserved-instance:ri-2021-12-24-02-33-41-305,AWS#AmazonElastiCache-Cache Instance#eu-west-3#m7g#CreateCacheCluster:0002#unknown-tenancy,Usage with Discount,2102.0999999999904,1432.2000000000153,669.8999999999751,0.3186813186813083
arn:aws:savingsplans::527480136527:savingsplan/dabfdc27-c2b1-f42d-1b84-da1967c90456,AWS#Compute-EC2#eu-west-3#m5a#RunInstances#shared,Usage with Discount,1675.8143043941907,1053.6330000000007,622.18130439419,0.37127103090285973
arn:aws:savingsplans::559750980952:savingsplan/3a009073-162b-72c7-ca88-9c12cea624b7,AWS#Compute-EC2#eu-central-1#c5#RunInstances#shared,Usage with Discount,1308.7257608156992,745.4340029380996,563.2917578775996,0.4304123711345856
arn:aws:savingsplans::662505700522:savingsplan/74c6fcdb-c971-62b5-6550-7ac3bde8f89f,AWS#Compute-EC2#eu-west-3#m5a#RunInstances#shared,Usage with Discount,1390.5827867485896,880.0117821450963,510.5710046034933,0.3671633285475164
arn:aws:savingsplans::559750980952:savingsplan/4b0ebb17-590f-a713-6516-f67ec77f1962,AWS#Compute-EC2#eu-west-3#m5a#RunInstances#shared,Usage with Discount,1185.0394339092,676.5721087434982,508.4673251657017,0.4290720718789696
arn:aws:savingsplans::559750980952:savingsplan/3a009073-162b-72c7-ca88-9c12cea624b7,AWS#Compute-EC2#eu-central-1#m5a#RunInstances#shared,Usage with Discount,1224.7320132834948,737.4888685726027,487.2431447108921,0.39783653846411504
arn:aws:elasticache:eu-central-1:559750980952:reserved-instance:id-3b2c4092-4420-0ba5-fdb1-f8a87e2b8fef,AWS#AmazonElastiCache-Cache Instance#eu-central-1#m6g#CreateCacheCluster:0002#unknown-tenancy,Usage with Discount,1481.8439999999991,1013.0119999999891,468.83200000001,0.31638418079096736
arn:aws:rds:eu-central-1:559750980952:ri:ri-2025-06-15-07-23-35-970,AWS#AmazonRDS-Database Instance#eu-central-1#m5#CreateDBInstance:0014#unknown-tenancy,Usage with Discount,1616.287999999949,1154.2735999999986,462.01439999995046,0.2858490566037519
arn:aws:savingsplans::417908285034:savingsplan/fa6ce1ab-3d42-0fda-9680-980310866d79,AWS#Compute-EC2#eu-central-1#t2#RunInstances#shared,Usage with Discount,1093.346315373994,642.5475125467979,450.79880282719614,0.41231108248898635
arn:aws:savingsplans::559750980952:savingsplan/2697b084-02ab-5e6d-2b36-952c2292ddc0,AWS#Compute-EC2#eu-west-1#g5.4xlarge#RunInstances#shared,Usage with Discount,962.2266195615003,519.6024807206998,442.6241388408006,0.4599998896751686
arn:aws:savingsplans::559750980952:savingsplan/4b0ebb17-590f-a713-6516-f67ec77f1962,AWS#Compute,Usage with Discount,1086.3258799947032,663.7804916542971,422.54538834040613,0.38896743244528653
arn:aws:savingsplans::559750980952:savingsplan/eda5f203-29b6-c471-c841-9ad0b0c71d19,AWS#Compute-EC2#eu-west-3#t3#RunInstances#shared,Usage with Discount,1008.9301941508899,589.9676559018056,418.9625382490842,0.4152542372881216
No Commitment,AWS#Database,On Demand Usage,27870.40100825536,27457.585845057714,412.81516319764705,0.014811956350228653
arn:aws:savingsplans::559750980952:savingsplan/bdfcc9b2-c4d1-da42-2a5e-dfc9da9d4512,AWS#Compute-EC2#eu-central-1#c5#RunInstances#shared,Usage with Discount,894.9192802796006,509.73495088059957,385.184329399001,0.4304123711343636
arn:aws:savingsplans::527480136527:savingsplan/1efce2ef-7ba3-e057-7379-e60c1eda55b5,AWS#Compute-EC2#eu-west-3#r5a#RunInstances#shared,Usage with Discount,973.1613970607943,612.7989999999993,360.36239706079505,0.3703007519093802
arn:aws:savingsplans::527480136527:savingsplan/d6db1c6b-570a-bf0e-2daf-1b95e174970f,AWS#Compute-EC2#eu-west-3#m5#RunInstances#shared,Usage with Discount,903.0307105287928,568.6159999999982,334.41471052879467,0.37032484790353315
arn:aws:savingsplans::559750980952:savingsplan/eda5f203-29b6-c471-c841-9ad0b0c71d19,AWS#Compute-EC2#eu-central-1#t3#RunInstances#shared,Usage with Discount,724.5505113303971,426.17099219099725,298.3795191393998,0.41181327522842354
