commitment_per_hour,total_savings_dollars,total_unused_commitment_waste,total_consumed_commitment,total_paid_commitment,total_eligible_on_demand_cost,total_covered_on_demand_cost,effective_savings_rate,coverage_rate,average_utilization
0.0,0.0,0.0,0.0,0.0,95350.76545173008,0.0,0.0,0.0,
1.9285640759900002,3895.43232415292,0.0,4258.269479785803,4258.26947978592,95350.76545173008,8153.70180393861,0.040853707945584614,0.08551270422749045,0.9999999999999725
3.0605800000000007,6145.336059882415,0.0,6757.760640000176,6757.760640000001,95350.76545173008,12903.096699882306,0.06444978213618432,0.13532242388147694,1.0000000000000258
3.6250013310240004,7266.673507104917,0.0,8004.002938900676,8004.002938900992,95350.76545173008,15270.676446005718,0.07620991265962687,0.16015263614990352,0.9999999999999605
4.15931683698,8323.792899129956,0.0,9183.771576051835,9183.77157605184,95350.76545173008,17507.564475181716,0.08729655037057624,0.18361220691033323,0.9999999999999994
4.5234080014039995,9034.897779726576,0.0,9987.684867099968,9987.684867100032,95350.76545173008,19022.58264682662,0.09475432878722258,0.19950110055966486,0.9999999999999937
4.862945,9695.093578039996,0.0,10737.382560000231,10737.38256,95350.76545173008,20432.47613803999,0.10167819347971563,0.21428748936875217,1.0000000000000215
5.1813400000000005,10312.254260889196,0.0,11440.39871999961,11440.398720000001,95350.76545173008,21752.652980889186,0.10815072340567232,0.22813296650356882,0.9999999999999658
5.4581453936428765,10846.392222754572,0.0,12051.585029163034,12051.58502916347,95350.76545173008,22897.977251917975,0.11375254484187018,0.2401446610673486,0.9999999999999638
5.690220000000001,11290.821412260631,0.0,12564.00576000058,12564.005760000002,95350.76545173008,23854.82717226072,0.11841353720412914,0.25017971339031225,1.000000000000046
5.892387091665328,11675.069597247457,0.0,13010.390698397394,13010.390698397045,95350.76545173008,24685.460295644498,0.12244337569746924,0.2588910553438729,1.0000000000000269
6.0609824551386255,11993.886263252365,0.0,13382.649260946444,13382.649260946086,95350.76545173008,25376.535524198396,0.12578699506428287,0.26613877092622706,1.0000000000000269
6.19675,12249.930981546604,0.0,13682.423999999324,13682.423999999999,95350.76545173008,25932.35498154655,0.12847228780505124,0.2719679790580645,0.9999999999999507
6.328247521030535,12497.71495594167,0.0,13972.770526435761,13972.770526435423,95350.76545173008,26470.485482377157,0.13107094522768623,0.2776116726171165,1.0000000000000242
6.460344929058605,12746.542522349711,0.0,14264.441603361862,14264.4416033614,95350.76545173008,27010.984125711126,0.13368054741838922,0.2832802022904057,1.0000000000000324
6.5984418966639655,13006.567375690563,0.0,14569.359707833555,14569.359707834035,95350.76545173008,27575.92708352466,0.1364075821947643,0.2892050939799174,0.999999999999967
6.716755101602658,13229.298526340197,0.0,14830.59526433887,14830.595264338668,95350.76545173008,28059.893790678845,0.13874349580378917,0.29428073972708435,1.0000000000000135
6.809772020693146,13404.385994010401,0.0,15035.976621690837,15035.976621690465,95350.76545173008,28440.362615700804,0.14057974186684608,0.2982709418321169,1.0000000000000249
6.896364811521887,13567.359819944973,0.0,15227.17350384095,15227.173503840328,95350.76545173008,28794.53332378526,0.14228894498821038,0.3019853399956403,1.0000000000000409
6.965481214627629,13697.422642766966,0.0,15379.782521897272,15379.782521897805,95350.76545173008,29077.20516466481,0.1436529909107136,0.3049498871551767,0.9999999999999654
7.038628295636938,13835.057223957901,0.0,15541.291276766393,15541.29127676636,95350.76545173008,29376.34850072416,0.1450964463516729,0.30808718064875423,1.000000000000002
7.125650620097994,13998.760625909143,0.0,15733.436569177316,15733.43656917637,95350.76545173008,29732.19719508548,0.1468133009692073,0.31181917684905175,1.0000000000000602
7.202855428995177,14143.943472967982,0.0,15903.904787221774,15903.90478722135,95350.76545173008,30047.848260189203,0.14833591954883826,0.3151295966826872,1.0000000000000266
